Number,Player,Team,Pos,GP,G,A,P,PlusmMinus,PIM,PP,SH,GW,OT,S,S_Perc,TOI_G,Sft_GFO_Perc
1,Martin St Louis,TBL,R,48,17,43,60,+0,14,3,0,2,0,112,15.2,21:59,23.9
2,Steven Stamkos,TBL,C,48,29,28,57,-4,32,10,0,2,0,157,18.5,22:01,24.3
3,Alex Ovechkin,WSH,R,48,32,24,56,+2,36,16,0,4,0,220,14.5,20:53,21.4
4,Sidney Crosby,PIT,C,36,15,41,56,+26,16,3,0,1,0,124,12.1,21:06,22.8
5,Patrick Kane,CHI,R,47,23,32,55,+11,8,8,0,3,0,138,16.7,20:03,23.1
6,Eric Staal,CAR,C,48,18,35,53,+5,54,3,1,4,0,152,11.8,20:59,26.3
7,Chris Kunitz,PIT,L,48,22,30,52,+30,39,9,0,5,0,113,19.5,18:01,20.4
8,Phil Kessel,TOR,R,48,20,32,52,-3,18,6,0,4,0,161,12.4,19:48,23.9
9,Taylor Hall,EDM,L,45,16,34,50,+5,33,4,0,4,0,154,10.4,18:37,22.6
10,Pavel Datsyuk,DET,C,47,15,34,49,+21,14,8,0,6,2,107,14.0,20:10,25.3
11,Ryan Getzlaf,ANA,C,44,15,34,49,+14,41,4,3,3,0,99,15.2,20:11,24.2
12,Mike Ribeiro,WSH,C,48,13,36,49,-4,53,6,0,1,0,63,20.6,17:50,20.3
13,Jonathan Toews,CHI,C,47,23,25,48,+28,27,2,2,5,0,143,16.1,19:20,25.0
14,Claude Giroux,PHI,R,48,13,35,48,-7,22,6,1,2,0,137,9.5,21:10,26.1
15,Henrik Zetterberg,DET,L,46,11,37,48,+2,18,4,2,5,0,173,6.4,20:31,24.3
16,Nicklas Backstrom,WSH,C,48,8,40,48,+8,20,3,0,1,0,82,9.8,19:54,23.3
17,John Tavares,NYI,C,48,28,19,47,-2,18,9,0,5,0,162,17.3,20:46,22.3
18,Jakub Voracek,PHI,R,48,22,24,46,-7,35,8,0,3,0,129,17.1,17:14,21.1
19,Andrew Ladd,WPG,L,48,18,28,46,+10,22,3,0,4,0,121,14.9,19:40,24.2
20,Henrik Sedin,VAN,C,48,11,34,45,+19,24,1,1,1,0,70,15.7,19:20,24.5
21,Derek Stepan,NYR,C,48,18,26,44,+25,12,4,1,6,0,108,16.7,20:55,25.7
22,Nazem Kadri,TOR,C,48,18,26,44,+15,23,5,0,1,0,107,16.8,16:03,21.0
23,Matt Moulson,NYI,L,47,15,29,44,-3,4,8,0,0,0,154,9.7,19:09,21.5
24,Alexander Semin,CAR,R,44,13,31,44,+14,46,4,0,1,0,150,8.7,20:56,25.1
25,PA Parenteau,COL,R,48,18,25,43,-11,38,6,0,1,0,105,17.1,19:08,23.0
26,Matt Duchene,COL,C,47,17,26,43,-12,12,2,0,3,1,132,12.9,20:55,27.0
27,Rick Nash,NYR,L,44,21,21,42,+16,26,3,1,3,0,176,11.9,19:58,25.0
28,Anze Kopitar,LAK,C,47,10,32,42,+14,16,0,0,1,0,98,10.2,20:28,25.3
29,Thomas Vanek,BUF,L,38,20,21,41,-1,20,9,1,2,0,119,16.8,18:24,21.1
30,Blake Wheeler,WPG,R,48,19,22,41,-3,28,2,0,2,0,129,14.7,18:48,22.9
31,Daniel Sedin,VAN,L,47,12,28,40,+12,18,3,0,3,0,138,8.7,19:01,24.7
32,Joe Thornton,SJS,C,48,7,33,40,+6,26,2,0,1,0,85,8.2,18:22,25.0
33,Max Pacioretty,MTL,L,44,15,24,39,+8,28,4,0,0,0,163,9.2,16:30,21.7
34,Jiri Tlusty,CAR,C,48,23,15,38,+15,18,4,0,3,0,117,19.7,18:14,24.6
35,Pascal Dupuis,PIT,R,48,20,18,38,+31,26,2,1,2,0,140,14.3,17:30,21.7
36,Zach Parise,MIN,L,48,18,20,38,+2,16,7,0,4,1,182,9.9,20:40,26.2
37,Sam Gagner,EDM,C,48,14,24,38,-6,23,4,0,1,1,113,12.4,19:24,24.6
38,P.K. Subban,MTL,D,42,11,27,38,+12,57,7,0,0,0,126,8.7,23:14,26.3
39,Kris Letang,PIT,D,35,5,33,38,+16,8,1,0,1,0,95,5.3,25:38,25.7
40,Logan Couture,SJS,C,48,21,16,37,+7,4,7,0,5,0,151,13.9,18:05,24.6
41,Jordan Eberle,EDM,R,48,16,21,37,-4,16,3,0,3,0,133,12.0,18:59,23.1
42,Mikko Koivu,MIN,C,48,11,26,37,+2,26,0,0,3,1,127,8.7,21:05,26.5
43,James Neal,PIT,L,40,21,15,36,+5,26,9,0,6,0,136,15.4,17:28,19.5
44,Brad Marchand,BOS,L,45,18,18,36,+23,27,4,2,5,0,91,19.8,16:57,21.7
45,Chris Stewart,STL,R,48,18,18,36,+0,40,6,0,3,1,97,18.6,15:49,23.0
46,Corey Perry,ANA,R,44,15,21,36,+10,72,5,0,5,1,128,11.7,19:04,22.8
47,Patrik Elias,NJD,L,48,14,22,36,+5,22,5,1,0,0,118,11.9,18:43,25.3
48,Teddy Purcell,TBL,R,48,11,25,36,-1,12,3,0,2,0,94,11.7,16:44,20.4
49,Jaromir Jagr,"DAL, BOS",R,45,16,19,35,-2,22,6,0,4,1,115,13.9,18:19,20.7
50,Michael Ryder,"DAL, MTL",R,46,16,19,35,+2,16,8,0,5,0,101,15.8,16:02,20.0
51,Tomas Fleischmann,FLA,L,48,12,23,35,-10,16,2,1,2,0,121,9.9,18:44,24.4
52,Brad Boyes,NYI,R,48,10,25,35,-6,16,1,0,1,1,97,10.3,18:12,20.9
53,Cody Hodgson,BUF,C,48,15,19,34,-4,20,3,1,1,0,114,13.2,18:23,22.5
54,Jason Pominville,"BUF, MIN",R,47,14,20,34,+1,8,2,1,2,0,118,11.9,20:10,24.2
55,Brad Richards,NYR,C,46,11,23,34,+8,14,3,0,1,0,110,10.0,18:48,22.2
