Number,Player,Team,Pos,DOB,BirthCity,S_P,Ctry,HT,Wt,S,Draft, RndOvrl,Rk,GP,G,A,Pts,PlusMinus,PIM,TOI_G
40,Michael Grabner,NYI,R,Oct 05 '87,Villach,,AUT,73,186,L,2006,1,14,,45,16,5,21,+4,12
14,Andreas Nodl,CAR,R,Feb 28 '87,Vienna,,AUT,73,196,L,2006,2,39,,8,0,1,1,-1,2
26,Thomas Vanek,BUF,L,Jan 19 '84,Vienna,,AUT,74,205,R,2003,1,5,,38,20,21,41,-1,20
74,Sergei Kostitsyn,NSH,L,Mar 20 '87,Novopolotsk,,BLR,72,196,L,2005,7,200,,46,3,12,15,-5,11
44,Robyn Regehr,"BUF, LAK",D,Apr 19 '80,Recife,,BRA,75,225,L,1998,1,19,,41,0,4,4,-4,23
27,Craig Adams,PIT,R,Apr 26 '77,Seria,,BRN,72,197,R,1996,9,223,,48,3,6,9,-1,28
72,Luke Adam,BUF,C,Jun 18 '90,St. John's,NF,CAN,74,206,L,2008,2,44,,4,1,0,1,+1,2
42,Jason Akeson,PHI,R,Jun 03 '90,Ottawa,ON,CAN,70,190,R,,,,Y,1,1,0,1,+2,0
55,Bryan Allen,ANA,D,Aug 21 '80,Kingston,ON,CAN,77,229,L,1998,1,4,,41,0,6,6,+1,34
27,Karl Alzner,WSH,D,Sep 24 '88,Burnaby,BC,CAN,75,213,L,2007,1,5,,48,1,4,5,-6,14
10,Mike Angelidis,TBL,L,Jun 27 '85,Woodbridge,ON,CAN,73,212,L,,,,,1,0,0,0,+0,0
20,Colby Armstrong,MTL,R,Nov 23 '82,Lloydminster,SK,CAN,74,185,R,2001,1,21,,37,2,3,5,+1,12
45,Arron Asham,NYR,R,Apr 13 '78,Portage La Prairie,MB,CAN,71,205,R,1996,3,71,,27,2,0,2,+2,50
33,Adrian Aucoin,CBJ,D,Jul 03 '73,Ottawa,ON,CAN,74,215,R,1992,5,117,,36,0,4,4,-8,16
36,Jonathan Audy-Marchessault,CBJ,C,Dec 27 '90,Cap-Rouge,QC,CAN,69,175,R,,,,Y,2,0,0,0,-1,0
3,Keith Aulie,TBL,D,Jun 11 '89,Rouleau,SK,CAN,78,228,L,2007,4,116,,45,2,5,7,+1,60
12,Josh Bailey,NYI,C,Oct 02 '89,Bowmanville,ON,CAN,73,190,L,2008,1,9,,38,11,8,19,+7,6
46,Carter Bancks,CGY,L,Aug 09 '89,Calgary,AB,CAN,71,181,L,,,,Y,2,0,0,0,+0,0
8,Mark Barberio,TBL,D,Mar 23 '90,Montreal,QC,CAN,73,185,L,2008,6,152,Y,2,0,0,0,-2,0
22,Krystofer Barch,NJD,L,Mar 26 '80,Hamilton,ON,CAN,73,220,L,1998,4,106,,22,0,0,0,+1,44
18,Cam Barker,VAN,D,Apr 04 '86,Winnipeg,MB,CAN,75,223,L,2004,1,3,,14,0,2,2,-3,4
41,Tyson Barrie,COL,D,Jul 26 '91,Victoria,BC,CAN,70,190,R,2009,3,64,Y,32,2,11,13,-11,10
64,Victor Bartley,NSH,D,Feb 17 '88,Ottawa,ON,CAN,72,203,L,,,,Y,24,0,7,7,+2,6
83,Jay Beagle,WSH,R,Oct 16 '85,Calgary,AB,CAN,75,215,R,,,,,48,2,6,8,-1,14
23,Francois Beauchemin,ANA,D,Jun 04 '80,Sorel,QC,CAN,73,207,L,1998,3,75,,48,6,18,24,+19,22
40,Nathan Beaulieu,MTL,D,Dec 05 '92,Strathroy,ON,CAN,73,182,L,2011,1,17,Y,6,0,2,2,+5,0
56,Taylor Beck,NSH,L,May 13 '91,St. Catherines,ON,CAN,74,203,R,2009,3,70,Y,16,3,4,7,+0,2
28,Steve Begin,CGY,L,Jun 14 '78,Trois-Rivieres,QC,CAN,72,192,L,1996,2,40,,36,4,4,8,-2,22
20,Eric Belanger,EDM,C,Dec 16 '77,Sherbrooke,QC,CAN,71,185,L,1996,4,96,,26,0,3,3,-1,10
39,Matt Beleskey,ANA,L,Jun 07 '88,Windsor,ON,CAN,72,206,L,2006,4,112,,42,8,5,13,+2,56
73,Brett Bellemore,CAR,D,Jun 25 '88,Windsor,ON,CAN,76,210,R,2007,6,162,Y,8,0,2,2,-2,7
14,Jamie Benn,DAL,C,Jul 18 '89,Victoria,BC,CAN,74,205,L,2007,5,129,,41,12,21,33,-12,40
58,Jordie Benn,DAL,D,Jul 26 '87,Victoria,BC,CAN,73,200,L,,,,Y,26,1,5,6,-4,10
,Andre Benoit,OTT,D,Jan 06 '84,St. Albert,ON,CAN,71,191,L,,,,,33,3,7,10,-3,8
47,Marc-Andre Bergeron,"TBL, CAR",D,Oct 13 '80,Trois-Rivieres,QC,CAN,69,190,L,,,,,25,1,8,9,-4,9
37,Patrice Bergeron,BOS,C,Jul 24 '85,Ancienne-Lorette,QC,CAN,74,194,R,2003,2,45,,42,10,22,32,+24,18
18,Steve Bernier,NJD,R,Mar 31 '85,Quebec City,QC,CAN,75,220,R,2003,1,16,,47,8,7,15,-7,17
44,Todd Bertuzzi,DET,R,Feb 02 '75,Sudbury,ON,CAN,75,229,L,1993,1,23,,7,2,1,3,+3,2
29,Bryan Bickell,CHI,L,Mar 09 '86,Bowmanville,ON,CAN,76,233,L,2004,2,41,,48,9,14,23,+12,25
3,Kevin Bieksa,VAN,D,Jun 16 '81,Grimsby,ON,CAN,73,198,R,2001,5,151,,36,6,6,12,+6,48
12,Paul Bissonnette,PHX,L,Mar 11 '85,Welland,ON,CAN,74,216,L,2003,4,121,,28,0,6,6,+2,36
72,Nicolas Blanchard,CAR,L,May 31 '87,Granby,QC,CAN,75,205,L,2005,6,192,Y,9,0,0,0,-2,20
45,Mike Blunden,MTL,R,Dec 15 '86,Toronto,ON,CAN,76,214,R,2005,2,43,,5,0,0,0,-1,4
,Alexandre Bolduc,PHX,C,Jun 26 '85,Montreal,QC,CAN,75,200,L,2003,4,127,,14,0,0,0,-4,2
36,Dave Bolland,CHI,C,Jun 05 '86,Mimico,ON,CAN,72,184,R,2004,2,32,,35,7,7,14,-7,22
58,Patrick Bordeleau,COL,L,Mar 23 '86,Montreal,QC,CAN,78,225,L,2004,4,114,,46,2,3,5,-7,70
74,Mark Borowiecki,OTT,D,Jul 12 '89,Ottawa,ON,CAN,73,200,L,2008,5,139,Y,6,0,0,0,+1,18
41,Robert Bortuzzo,PIT,D,Mar 18 '89,Thunder Bay,ON,CAN,76,215,R,2007,3,78,Y,15,2,2,4,+3,27
