1,Steven Stamkos,TBL,C,17,14,9,23,+11,8,3,1,2,0,60,23.3,20:17,24.4,45.4
2,Sidney Crosby,PIT,C,17,8,15,23,+4,10,2,0,0,0,62,12.9,22:37,24.1,54.2
3,Ryan Getzlaf,ANA,C,18,10,12,22,+12,13,2,0,4,0,45,22.2,19:59,24.2,50.8
4,Alexander Steen,STL,C,15,14,7,21,+10,8,4,0,3,0,52,26.9,21:05,28.4,51.3
5,Corey Perry,ANA,R,19,11,10,21,+14,16,1,0,4,0,72,15.3,19:22,23.5,50.0
6,Alex Ovechkin,WSH,L,16,13,7,20,-8,14,7,0,1,0,94,13.8,21:05,21.7,0.0
7,Henrik Zetterberg,DET,L,18,10,10,20,+12,4,1,0,1,0,69,14.5,20:12,24.6,50.0
8,John Tavares,NYI,C,18,7,13,20,+0,24,1,0,2,0,56,12.5,20:44,22.1,44.0
9,Nicklas Backstrom,WSH,C,18,5,15,20,-1,8,1,0,1,0,39,12.8,19:22,22.1,48.8
10,Henrik Sedin,VAN,C,20,3,17,20,+4,16,1,0,0,0,35,8.6,22:27,26.1,50.3
11,Matt Duchene,COL,C,16,11,8,19,+7,0,3,0,3,0,54,20.4,18:05,22.5,53.1
12,Phil Kessel,TOR,C,17,10,9,19,+6,13,3,0,3,0,64,15.6,19:37,24.6,12.5
13,Frans Nielsen,NYI,C,18,9,10,19,+3,4,1,1,0,0,38,23.7,18:22,22.9,47.6
14,Bobby Ryan,OTT,R,17,9,10,19,+10,8,3,0,0,0,49,18.4,17:38,23.3,75.0
15,Jiri Hudler,CGY,C,17,6,13,19,+0,0,1,0,0,0,30,20.0,19:53,23.9,16.7
16,Kyle Okposo,NYI,R,18,5,14,19,+6,16,1,0,0,0,41,12.2,20:01,21.5,44.4
17,Pavel Datsyuk,DET,C,18,7,11,18,+11,6,1,0,2,0,56,12.5,20:44,25.0,51.4
18,Erik Karlsson,OTT,D,17,6,12,18,+2,8,0,0,1,0,59,10.2,26:59,27.2,0.0
19,Joe Pavelski,SJS,C,17,6,12,18,+4,8,3,0,0,0,50,12.0,19:42,27.5,57.8
20,Kyle Turris,OTT,C,17,4,14,18,+11,8,1,0,0,0,49,8.2,19:31,25.4,47.3
21,Bryan Little,WPG,R,19,10,7,17,+3,10,1,2,1,0,41,24.4,19:51,26.1,43.9
22,Patrick Kane,CHI,R,18,10,7,17,-4,8,4,0,3,0,59,16.9,19:32,22.4,50.0
23,Daniel Sedin,VAN,L,20,7,10,17,+3,22,2,0,2,0,70,10.0,21:57,25.7,0.0
24,Logan Couture,SJS,C,17,7,10,17,+5,0,3,0,1,0,58,12.1,20:01,27.5,53.4
25,Anze Kopitar,LAK,C,17,4,13,17,+4,4,3,0,1,1,48,8.3,21:26,26.4,54.4
26,P.K. Subban,MTL,D,18,3,14,17,+2,16,2,0,0,0,62,4.8,24:29,27.3,0.0
27,Joe Thornton,SJS,C,17,2,15,17,+7,2,0,0,0,0,28,7.1,18:57,27.2,53.1
28,Tomas Hertl,SJS,C,17,10,6,16,+7,0,2,0,1,0,51,19.6,15:24,22.1,65.5
29,Jonathan Toews,CHI,C,18,9,7,16,+4,14,2,0,0,0,54,16.7,21:01,25.4,58.1
30,Patrick Marleau,SJS,C,17,8,8,16,+3,0,4,0,1,0,60,13.3,20:23,28.0,45.4
31,Chris Kunitz,PIT,L,17,8,8,16,+12,14,3,0,2,0,56,14.3,18:59,21.4,100.0
32,Jason Spezza,OTT,C,16,8,8,16,-3,12,3,0,1,0,49,16.3,18:59,24.8,54.5
33,Martin St. Louis,TBL,R,17,7,9,16,+10,4,0,0,1,1,43,16.3,21:27,25.2,40.0
34,Tyler Seguin,DAL,C,17,7,9,16,+3,2,1,0,1,0,43,16.3,19:18,24.4,38.3
35,Jamie Benn,DAL,C,17,6,10,16,+5,7,0,0,1,0,56,10.7,19:09,25.2,60.0
36,Andrew Ladd,WPG,L,19,5,11,16,+6,12,1,0,0,0,49,10.2,18:58,24.9,35.0
37,Mike Richards,LAK,C,17,5,11,16,-1,4,2,1,2,0,37,13.5,18:30,25.4,57.0
38,Patrick Sharp,CHI,L,18,4,12,16,+7,6,0,0,0,0,67,6.0,18:57,21.7,57.1
39,David Krejci,BOS,C,17,3,13,16,+10,16,0,0,2,0,32,9.4,19:12,21.9,57.2
40,Zach Parise,MIN,L,18,8,7,15,+4,8,5,0,2,0,79,10.1,20:24,25.2,42.8
41,Matt Moulson,"NYI, BUF",L,17,8,7,15,+1,6,5,0,0,0,41,19.5,17:30,19.4,0.0
42,Brad Richards,NYR,C,17,6,9,15,+5,8,1,0,1,0,60,10.0,19:28,23.9,51.0
43,David Backes,STL,C,15,6,9,15,+7,30,3,0,1,0,29,20.7,20:49,28.3,52.7
44,Mikhail Grabovski,WSH,C,18,5,10,15,+3,6,2,0,0,0,25,20.0,15:47,19.3,55.3
45,Jordan Eberle,EDM,R,19,4,11,15,-3,2,0,1,0,0,53,7.5,21:41,28.6,44.4
46,Evgeni Malkin,PIT,C,17,3,12,15,-4,14,1,0,1,0,46,6.5,20:10,21.4,53.6
47,Marcus Johansson,WSH,C,18,2,13,15,-5,0,1,0,1,0,19,10.5,17:28,20.8,28.1
48,Jason Pominville,MIN,R,18,11,3,14,+8,6,3,0,3,0,57,19.3,17:49,22.1,42.5
49,Ryan Kesler,VAN,C,20,9,5,14,-4,13,2,0,2,1,75,12.0,22:39,26.8,51.8
50,Marian Hossa,CHI,R,18,8,6,14,+10,4,1,0,0,0,70,11.4,18:24,24.4,0.0
51,Milan Lucic,BOS,L,17,7,7,14,+10,14,0,0,1,0,32,21.9,17:23,20.5,31.0
52,Martin Hanzal,PHX,C,16,5,9,14,-5,23,1,0,1,0,42,11.9,19:33,25.2,50.3
53,Mathieu Perreault,ANA,C,18,5,9,14,+10,6,0,0,1,1,32,15.6,14:09,18.8,55.0
54,David Legwand,NSH,C,17,4,10,14,-4,6,2,0,1,0,22,18.2,16:16,20.9,50.6
55,Alex Galchenyuk,MTL,C,18,3,11,14,+0,8,0,0,0,0,37,8.1,15:38,22.6,25.0
56,Keith Yandle,PHX,D,18,1,13,14,-5,8,1,0,0,0,40,2.5,22:44,26.8,0.0
