Number,Player,Team,Pos,GP,G,A,P,PlusMinus,PIM,PP,SH,GW,OT,S,S_Perc,TOI_G,Sft_G,FO_Perc
1,Alexander Steen,STL,C,18,17,9,26,12,8,4,0,4,0,64,26.6,20:40,28.0,50.0
2,Sidney Crosby,PIT,C,20,9,16,25,3,14,3,0,0,0,73,12.3,22:44,23.8,55.2
3,John Tavares,NYI,C,21,9,16,25,0,24,2,0,2,0,60,15.0,20:48,22.0,43.4
4,Steven Stamkos,TBL,C,17,14,9,23,11,8,3,1,2,0,60,23.3,20:17,24.4,45.4
5,Corey Perry,ANA,R,22,12,11,23,10,16,1,0,4,0,81,14.8,19:42,23.6,40.0
6,Henrik Zetterberg,DET,L,21,10,13,23,9,4,1,0,1,0,77,13.0,20:26,25.1,50.0
7,Ryan Getzlaf,ANA,C,19,10,13,23,12,13,2,0,4,0,48,20.8,20:11,24.4,51.1
8,Alex Ovechkin,WSH,L,18,15,7,22,-9,14,7,0,2,1,105,14.3,21:06,21.8,0.0
9,Tyler Seguin,DAL,C,19,12,10,22,7,2,2,0,2,0,55,21.8,19:13,24.1,37.5
10,Pavel Datsyuk,DET,C,21,11,11,22,7,6,4,0,2,0,64,17.2,20:55,25.5,50.9
11,Jamie Benn,DAL,C,19,7,15,22,9,9,0,0,1,0,62,11.3,18:59,25.0,59.4
12,Joe Thornton,SJS,C,20,2,20,22,10,2,0,0,0,0,28,7.1,18:51,27.2,52.1
13,Frans Nielsen,NYI,C,21,9,12,21,2,4,1,1,0,0,46,19.6,18:38,23.1,49.8
14,Joe Pavelski,SJS,C,20,7,14,21,5,14,4,0,0,0,60,11.7,19:23,27.4,58.3
15,Nicklas Backstrom,WSH,C,20,5,16,21,-2,10,1,0,1,0,45,11.1,19:31,22.3,48.5
16,Henrik Sedin,VAN,C,21,3,18,21,4,18,1,0,0,0,36,8.3,22:32,26.0,50.8
17,Matt Duchene,COL,C,19,12,8,20,5,7,3,0,3,0,62,19.4,17:37,22.1,51.5
18,Patrick Kane,CHI,R,20,11,9,20,-3,8,4,0,3,0,63,17.5,19:46,22.7,50.0
19,Patrick Marleau,SJS,C,20,10,10,20,6,2,5,0,1,0,71,14.1,20:35,28.3,45.8
20,Bobby Ryan,OTT,R,19,10,10,20,10,8,3,0,0,0,54,18.5,17:33,23.1,83.3
21,Martin St. Louis,TBL,R,20,8,12,20,9,4,1,0,2,1,46,17.4,21:17,24.8,40.5
22,Logan Couture,SJS,C,20,8,12,20,7,0,3,0,1,0,76,10.5,19:57,27.6,55.1
23,David Backes,STL,C,18,8,12,20,10,32,4,0,1,0,36,22.2,20:26,28.2,50.8
24,Kyle Okposo,NYI,R,21,6,14,20,4,16,1,0,0,0,49,12.2,20:07,21.5,35.3
25,Jiri Hudler,CGY,C,20,6,14,20,-3,0,1,0,0,0,34,17.6,19:42,24.2,16.7
26,Phil Kessel,TOR,C,20,10,9,19,4,15,3,0,3,0,73,13.7,19:17,24.2,12.5
27,Erik Karlsson,OTT,D,19,6,13,19,3,8,0,0,1,0,63,9.5,26:50,27.2,0.0
28,Anze Kopitar,LAK,C,20,5,14,19,7,6,4,0,1,1,54,9.3,21:28,26.3,54.0
29,Tomas Hertl,SJS,C,20,12,6,18,9,0,2,0,2,0,56,21.4,15:34,22.2,64.7
30,Bryan Little,WPG,R,21,11,7,18,3,10,1,2,1,0,46,23.9,19:58,26.3,44.7
31,Jonathan Toews,CHI,C,20,9,9,18,4,14,2,0,0,0,61,14.8,20:57,25.6,57.1
32,Jason Spezza,OTT,C,18,9,9,18,-3,12,3,0,1,0,54,16.7,19:03,24.7,54.4
33,Matt Moulson,"NYI, BUF",L,20,8,10,18,1,6,5,0,0,0,44,18.2,17:48,20.0,0.0
34,Martin Hanzal,PHX,C,18,6,12,18,0,25,1,0,1,0,47,12.8,19:15,25.2,51.6
35,Kyle Turris,OTT,C,19,4,14,18,10,8,1,0,0,0,51,7.8,19:35,25.4,49.4
